,,,,
Produit,Marque,Code-barres,Lot,DDM
Houmous a la libanaise,ATELIER BLINI,,14203501,21/11/20
Houmous a la libanaise,ATELIER BLINI,,14203531,24/11/20
"Chocolats ""Ballotin trad parme/gris 125 g"" Weiss ",WEISS,,51976,07/03/21
"chocolats ""Incontournable atelier Weiss 1 kg""",WEISS,,53063,15/04/21
"chocolats ""Incontournable atelier Weiss 1 kg""",WEISS,,52483,21/03/21
"chocolats ""Incontournable atelier Weiss 1 kg""",WEISS,,52428,29/03/21
Baguette amibiote cereales/graine 250g ,BRIDOR,3419280059931,3459144,15/06/21
Petit pave aux cereales 40g,SYSTeME U,vendu au rayon boulangerie entre le 06/10/20 et le 24/10/2020,,
Baguette cereale avec toppings 280g,SYSTeME U,Vendu entre 18/07/20 et le 04/11/20 au rayon Boulangerie TRADITIONNEL,,
Biscuits epeautre et sesame 150g de marque U BIO,U BIO,3256221407150,44153,18/11/20
Biscuits epeautre et sesame 150g de marque U BIO,U BIO,3256221407150,44154,19/11/20
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123, L20077,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123, L20111,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123,L20112,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123,L20132,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123,L20133,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123,L20148,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123,L20149,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123,L20162,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123,L20198,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123,L20199,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123,L20266,
Melange Chili 20g,CIGALOU/NETTO/INTERMARCHE,3250390510123, L20275,
Melange super graines bio de marque MAITRE PRUNILLE,Auchan,commercialise en tremies VRAC du 06/08/2020 au 04/11/2020,,
Baguette Cereales rustique 250 gr,LIDL,vendu au rayon boulangerie,,
sables framboise Bonne Maman (lot de 2),Bonne Maman,3178530414806,D 29/01/21,29/01/21
sables framboise Bonne Maman (lot de 2),Bonne Maman,3178530414806,B 02/03/21,02/03/21
10 minis cheeseburger surgeles,CASINO,3222476759016,20202,20/01/22
10 minis cheeseburger surgeles,CASINO,3222476759016,20284,10/04/22
BISCUIT BLE SESAME BIO 184g,BJORG,3229820181738,,24/11/20
BISCUIT BLE SESAME BIO 184g,BJORG,3229820181738,,27/11/20
BISCUIT BLE SESAME BIO 184g,BJORG,3229820181738,,28/11/20
BISCUIT BLE SESAME BIO 184g,BJORG,3229820181738,,07/05/21
JAPCHAE AU POULET 350g PICARD,Picard,3270160861941,C302793003,01/04/22
JAPCHAE AU POULET 350g PICARD,Picard,3270160861941,C302442186,01/02/22
BIBIMBAP 350g  PICARD ,Picard,3270160866120,C302933332,01/12/21
BIBIMBAP 350g  PICARD ,Picard,3270160866120,C302582497,01/03/22
BIBIMBAP 350g  PICARD ,Picard,3270160866120,C302372042,01/02/22
BIBIMBAP 350g  PICARD ,Picard,3270160866120,C302331980,01/02/22
BIBIMBAP 350g  PICARD ,Picard,3270160866120,C302321939,01/02/22
